//Substation,Name,Area
79557,AIRPRTRD,WZ_WEST
8959,AIR_LIQC2A,WZ_SOUTHERN
8979,AIR_LIQI4A,WZ_SOUTHERN
8978,AIR_LIQS4A,WZ_SOUTHERN
80076,AJO7A,WZ_SOUTHERN
79504,AJ_SWOPE,WZ_NORTH
5007,ALAMO1_8,WZ_SOUTH_CENTRAL
5000,ALAMOTP,WZ_SOUTH_CENTRAL
5001,ALAMO_CM,WZ_SOUTH_CENTRAL
8515,ALAZAN4A,WZ_SOUTHERN
6207,ALBANY2A,WZ_NORTH_CENTRAL
6214,ALBANYT12A,WZ_WEST
5759,ALBERTARDSB8,WZ_SOUTHERN
69009,ALBNY_FD1A,WZ_NORTH_CENTRAL
6202,ALBNY_FD2A,WZ_NORTH_CENTRAL
906752,ALBNY_FD2A,WZ_NORTH_CENTRAL
110302,ALCOA_1_8,WZ_COAST
110303,ALCOA_2_8,WZ_COAST
1962,ALCON1_8,WZ_NORTH_CENTRAL
2194,ALCON1_T8,WZ_NORTH_CENTRAL
1963,ALCON2_8,WZ_NORTH_CENTRAL
2195,ALCON2_T8,WZ_NORTH_CENTRAL
758,ALCORN,WZ_NORTH
45640,ALDINE_S86_8,WZ_COAST
527,ALEDO,WZ_NORTH_CENTRAL
1579,ALEDO1_8,WZ_NORTH_CENTRAL
901811,ALEDO1_8,WZ_NORTH_CENTRAL
41392,ALEXIS84T1_8,WZ_COAST
41391,ALEXIS87T2_8,WZ_COAST
48172,ALEXIS__TAPA,WZ_COAST
48173,ALEXIS__TAPB,WZ_COAST
6826,ALHUB_RC,WZ_NORTH_CENTRAL
79520,ALIBATE2,WZ_NORTH
79522,ALIBATE3,WZ_NORTH
79500,ALIBATES,WZ_NORTH
79524,ALIBSTR,WZ_NORTH
8500,ALICE2A,WZ_SOUTHERN
8503,ALICE4A,WZ_SOUTHERN
44020,ALIEF__S09_8,WZ_COAST
1169,ALKALILK_8,WZ_FAR_WEST
900696,ALKALILK_8,WZ_FAR_WEST
40160,ALKANE_X96B8,WZ_COAST
1757,ALLA_HUB_P8,WZ_NORTH_CENTRAL
2531,ALLEN1_8,WZ_NORTH_CENTRAL
2549,ALLEN2_8,WZ_NORTH_CENTRAL
12511,ALLENSW1_3,WZ_NORTH_CENTRAL
2513,ALLENSW1_5,WZ_NORTH_CENTRAL
2511,ALLENSW1_8,WZ_NORTH_CENTRAL
903409,ALLENSW1_8,WZ_NORTH_CENTRAL
12512,ALLENSW2_3,WZ_NORTH_CENTRAL
2514,ALLENSW2_5,WZ_NORTH_CENTRAL
2512,ALLENSW2_8,WZ_NORTH_CENTRAL
12513,ALLENSWS2_E8,WZ_NORTH_CENTRAL
2533,ALLEN_N1_8,WZ_NORTH_CENTRAL
2548,ALLEN_N2_8,WZ_NORTH_CENTRAL
60370,ALLEYOOP2A,WZ_FAR_WEST
1855,ALLIANCE1_5,WZ_NORTH_CENTRAL
1568,ALLISON_T8,WZ_NORTH_CENTRAL
2346,ALMAS_9,WZ_NORTH_CENTRAL
6672,ALMC2B,WZ_FAR_WEST
6680,ALMC4A,WZ_FAR_WEST
48013,ALMEDA07TP_8,WZ_COAST
48012,ALMEDA26TP_8,WZ_COAST
24050,ALNSW1_1,WZ_NORTH_CENTRAL
24020,ALNSW2_1,WZ_NORTH_CENTRAL
79006,ALN_CRK,WZ_NORTH
5606,ALOESUB9,WZ_COAST
2596,ALPHA1_8,WZ_NORTH_CENTRAL
2597,ALPHA2_8,WZ_NORTH_CENTRAL
6666,ALPINE2A,WZ_FAR_WEST
6665,ALPR2A,WZ_FAR_WEST
42061,ALTA_L_S93_8,WZ_COAST
5772,ALTONSUB8,WZ_SOUTHERN
2297,ALVARADO1_8,WZ_NORTH_CENTRAL
2298,ALVARADO1_9,WZ_NORTH_CENTRAL
42080,ALVIN___53B9,WZ_COAST
1561,ALVORD1_8,WZ_NORTH_CENTRAL
1559,ALVORD_T8,WZ_NORTH_CENTRAL
6419,AMBR2A,WZ_WEST
6233,AMCEDUM,WZ_WEST
6788,AMCETERT,WZ_WEST
6439,AMCO2A,WZ_WEST
6234,AMCWDUM,WZ_WEST
9151,AMD,WZ_SOUTH_CENTRAL
5002,AMD_SA,WZ_SOUTH_CENTRAL
2815,AMELIA1_8,WZ_NORTH_CENTRAL
2816,AMELIA2_8,WZ_NORTH_CENTRAL
3600,AMERIGAS1_8,WZ_EAST
3599,AMERIGAST_8,WZ_EAST
1145,AMGLDSMI_8,WZ_FAR_WEST
5798,AMISTAD8,WZ_WEST
8686,AMISTD4A,WZ_WEST
180021,AMI_AMISTAG1,WZ_WEST
180022,AMI_AMISTAG2,WZ_WEST
1144,AMNCOWD_8,WZ_FAR_WEST
1143,AMOCNCTA_8,WZ_FAR_WEST
