//Branch,Name,FrEnode,ToEnode,Circuit,Voltage,Resistance,Reactance,NormalLimit,CtgLimit,Solve,Enforce,Monitor,Switchable,Penalty,AngleLimit,Hvdc,CID
170238 170231,170238 HHGT_1_8 138 170231 HHG_CALLAHAN 34.5,170238,170231,1,138,0.0030204,0.12343,141.111111111111,141.111111111111,1,1,,,,,,
170238 170243,170238 HHGT_1_8 138 170243 HHGT_X1_8 138,170238,170243,1,138,0.00901,0.051456,257.777777777778,257.777777777778,1,1,,,,,,
170239 170232,170239 HHGT_2_8 138 170232 HHG_HHOLLOW1 34.5,170239,170232,1,138,0.00116,0.064946,255.555555555556,255.555555555556,1,1,,,,,,
170239 170243,170239 HHGT_2_8 138 170243 HHGT_X1_8 138,170239,170243,1,138,0.000571,0.004849,337.777777777778,337.777777777778,1,1,,,,,,
170240 170233,170240 HHGT_3_8 138 170233 HHG_HHOLLOW2 34.5,170240,170233,1,138,0.001193,0.065772,255.555555555556,255.555555555556,1,1,,,,,,
170240 170247,170240 HHGT_3_8 138 170247 PONY_1_8 138,170240,170247,1,138,0.00587,0.050062,337.777777777778,337.777777777778,1,1,,,,,,
170241 170234,170241 HHGT_4_8 138 170234 HHG_HHOLLOW3 34.5,170241,170234,1,138,0.0029058,0.122715,266.666666666666,266.666666666666,1,1,,,,,,
170241 170248,170241 HHGT_4_8 138 170248 PONY_2_8 138,170241,170248,1,138,0.00676,0.0533,514.444444444445,514.444444444445,1,1,,,,,,
170242 170235,170242 HHGT_5_8 138 170235 HHG_HHOLLOW4 34.5,170242,170235,1,138,0.002056,0.096228,177.777777777778,177.777777777778,1,1,,,,,,
170242 170244,170242 HHGT_5_8 138 170244 HHGT_X2_8 138,170242,170244,1,138,0.000837,0.00494,257.777777777778,257.777777777778,1,1,,,,,,
170243 170244,170243 HHGT_X1_8 138 170244 HHGT_X2_8 138,170243,170244,1,138,0,1e-04,11110,11110,1,1,,,,,,
170243 170247,170243 HHGT_X1_8 138 170247 PONY_1_8 138,170243,170247,1,138,0.00031,0.0024,337.777777777778,337.777777777778,1,1,,,,,,
170243 170252,170243 HHGT_X1_8 138 170252 HHGT_1_STAR 1,170243,170252,1,138,0.00034,0.02418,647.5,647.5,1,1,,,,,,
170244 170248,170244 HHGT_X2_8 138 170248 PONY_2_8 138,170244,170248,1,138,0.00039,0.00333,514.444444444445,514.444444444445,1,1,,,,,,
170244 170253,170244 HHGT_X2_8 138 170253 HHGT_2_STAR 1,170244,170253,1,138,0.00034,0.02412,647.5,647.5,1,1,,,,,,
170245 170246,170245 HHGT_1_5 345 170246 HHGT_2_5 345,170245,170246,1,345,8.46759428780668e-07,-0.00387130172098133,12137.7777777778,12137.7777777778,1,1,,,,,,
170245 170252,170245 HHGT_1_5 345 170252 HHGT_1_STAR 1,170245,170252,1,345,0.00034,0.02418,647.5,647.5,1,1,,,,,,
170245 170253,170245 HHGT_1_5 345 170253 HHGT_2_STAR 1,170245,170253,1,345,0.00034,0.02412,647.5,647.5,1,1,,,,,,
170246 170251,170246 HHGT_2_5 345 170251 OMEGA_1_5 345,170246,170251,1,345,0.00753,0.088528,1930,1930,1,1,,,,,,
170249 180459,170249 PONY_3_8 138 180459 HHOLLOW2_1_8 138,170249,180459,1,138,0.00667,0.05698,337.777777777778,337.777777777778,1,1,,,,,,
170250 180461,170250 PONY_4_8 138 180461 HHOLLOW3_1_8 138,170250,180461,1,138,0.00676,0.053302,514.444444444445,514.444444444445,1,1,,,,,,
1703 1788,1703 TOCO_9 69 1788 BRKSTON1_9 69,1703,1788,1,69,0.027148,0.066698,72.2222222222222,72.2222222222222,1,1,,,,,,
1703 24013,1703 TOCO_9 69 24013 TOCO_1 1,1703,24013,1,69,0.0055213,-0.0017885,63.3333333333333,70,1,1,,,,,,
170381 170382,170381 OCI_ALM1_G1 34.5 170382 OCI_ALM_HIGH 138,170381,170382,1,138,0.0146,0.3747,49.7777777777778,71.1111111111111,1,1,,,,,,
1704 11704,1704 SHER_L_M_8 138 11704 SHER_W_8 138,1704,11704,1,138,1e-05,1e-04,504.444444444444,504.444444444444,1,1,,,,,,
1704 1758,1704 SHER_L_M_8 138 1758 PAYNE1_8 138,1704,1758,1,138,0.00236,0.01623,504.444444444444,504.444444444444,1,1,,,,,,
170401 170402,170401 SKY1_GA 13.8 170402 SKY1_GB 13.8,170401,170402,1,13.8,0,1e-04,11110,11110,1,1,,,,,,
170403 170401,170403 SKY1_8 138 170401 SKY1_GA 13.8,170403,170401,1,138,0.01408,0.29206,55.5555555555556,55.5555555555556,1,1,,,,,,
170403 170402,170403 SKY1_8 138 170402 SKY1_GB 13.8,170403,170402,1,138,0.01402,0.28978,55.5555555555556,55.5555555555556,1,1,,,,,,
170441 170442,170441 CACTSFLT_U1 34.5 170442 CACTSFLT_T1 34.5,170441,170442,1,34.5,0,1e-04,11110,11110,1,1,,,,,,
170442 170447,170442 CACTSFLT_T1 34.5 170447 CACTSFLT_3Y 1,170442,170447,1,34.5,0.001525,-0.008495,200,200,1,1,,,,,,
170443 170446,170443 CACTSFLT_T2 13.8 170446 CACTSFLT_SC1 13.8,170443,170446,1,13.8,0,1e-04,11110,11110,1,1,,,,,,
170443 170447,170443 CACTSFLT_T2 13.8 170447 CACTSFLT_3Y 1,170443,170447,1,13.8,0.005075,0.15731,200,200,1,1,,,,,,
170444 170447,170444 CACTSFLT_T3 138 170447 CACTSFLT_3Y 1,170444,170447,1,138,0.000235,0.091935,200,200,1,1,,,,,,
1706 1707,1706 GAINVL_E_T8 138 1707 GAINVL_E_8 138,1706,1707,1,138,0.00605,0.01569,145.555555555556,145.555555555556,1,1,,,,,,
1706 1708,1706 GAINVL_E_T8 138 1708 GAINVLDX1_8 138,1706,1708,1,138,0.00335,0.01576,217.777777777778,217.777777777778,1,1,,,,,,
1708 1709,1708 GAINVLDX1_8 138 1709 GAINVLDX1_9 69,1708,1709,1,138,0.00502,0.1479,61.1111111111111,70,1,1,,,,,,
1708 1710,1708 GAINVLDX1_8 138 1710 GAINVL_N1_8 138,1708,1710,1,138,0.00119,0.00684,233.333333333333,233.333333333333,1,1,,,,,,
1709 1712,1709 GAINVLDX1_9 69 1712 MUENSTER_9 69,1709,1712,1,69,0.08871,0.20256,72.2222222222222,72.2222222222222,1,1,,,,,,
1709 1719,1709 GAINVLDX1_9 69 1719 GAINVL_T9 69,1709,1719,1,69,0.00682,0.01675,66.6666666666667,66.6666666666667,1,1,,,,,,
1710 1988,1710 GAINVL_N1_8 138 1988 VALVIEW_8 138,1710,1988,1,138,0.00892,0.05168,251.111111111111,251.111111111111,1,1,,,,,,
