,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2017-02-21 20:00:00-06:00,10350.6599107,1249.5599367,2225.1992518,736.1118352,11620.6629877,3179.914879,5954.3796526,1077.4247049,36393.9131586
2017-02-21 21:00:00-06:00,9868.5174249,1185.2372958,2179.5910555,708.0651341,11038.4865639,2996.2840929,5560.1588649,1020.9459138,34557.2863458
2017-02-21 22:00:00-06:00,9190.3964133,1110.8438679,2127.5211258,665.6943483,10129.064593,2742.186542,5037.4707422,941.457838,31944.6354705
2017-02-21 23:00:00-06:00,8500.2365369,1027.2612033,2071.2521057,627.8433698,9204.561678,2439.2890206,4521.9232727,874.5867039,29266.9538909
2017-02-22 00:00:00-06:00,8034.2265646,976.9419188,2015.1523131,614.2058773,8627.8095765,2239.3413569,4168.723676,845.9747568,27522.37604
2017-02-22 01:00:00-06:00,7786.8996173,926.5983997,2002.9726244,608.8024168,8346.0790277,2129.0742626,3980.2851191,836.6724281,26617.3838957
2017-02-22 02:00:00-06:00,7654.9290744,933.5921839,1995.1682977,606.1616448,8231.4402433,2065.9764549,3909.3486208,837.8790493,26234.4955691
2017-02-22 03:00:00-06:00,7677.1118051,945.1282981,2005.6199587,614.4471955,8317.2040524,2054.7480745,3909.248113,844.436323,26367.9438203
2017-02-22 04:00:00-06:00,7900.0109358,970.5758911,2018.8999715,632.9098242,8694.8018716,2081.1728274,4043.857313,867.1082074,27209.336842
2017-02-22 05:00:00-06:00,8531.2388251,1057.2992877,2054.0152836,675.5434056,9662.3041882,2232.1831064,4496.1229575,932.2310295,29640.9380836
2017-02-22 06:00:00-06:00,9460.0027791,1228.600052,2147.502769,753.7204783,11243.9785075,2596.3351335,5301.6508949,1053.2403352,33785.0309495
2017-02-22 07:00:00-06:00,9616.6455809,1274.3157129,2178.3399769,770.318958,11705.9390591,2660.8183484,5545.0967442,1094.1356099,34845.6099903
2017-02-22 08:00:00-06:00,9692.6306745,1242.556483,2149.4273995,753.0440924,11378.8027668,2625.2454725,5441.4309023,1059.5634488,34342.7012398
2017-02-22 09:00:00-06:00,9881.1350649,1208.0474817,2150.3412569,739.708331,11174.4171774,2698.4487943,5384.7027341,1048.9700273,34285.7708676
2017-02-22 10:00:00-06:00,10139.2963801,1230.4830846,2153.9110054,731.4711393,11146.67309,2806.0182114,5423.3374631,1034.2346418,34665.4250157
2017-02-22 11:00:00-06:00,10380.0883957,1241.8736468,2157.6034859,727.464765,11190.3616996,2946.188271,5506.1204722,1032.1721678,35181.872904
2017-02-22 12:00:00-06:00,10638.1646363,1258.6757983,2160.7689547,725.6168591,11292.2917482,3132.0057706,5659.1307746,1034.509951,35901.1644928
2017-02-22 13:00:00-06:00,11061.8985847,1278.5331197,2207.5858911,733.3983015,11511.4562356,3378.9480478,5876.6909533,1044.9354608,37093.4465945
2017-02-22 14:00:00-06:00,11488.7817655,1290.5206679,2238.4714212,740.6486268,11689.4133428,3627.78829,6133.5662089,1066.6738968,38275.8642199
2017-02-22 15:00:00-06:00,11788.1247996,1333.7286761,2263.4728956,741.0215498,11781.2803544,3804.0003378,6432.991048,1090.1734157,39234.793077
2017-02-22 16:00:00-06:00,11924.2293691,1344.0240611,2299.4309852,751.4253679,11975.7464339,3904.3212837,6652.0144599,1113.9118183,39965.1037791
2017-02-22 17:00:00-06:00,11701.5283174,1350.8973611,2297.8551138,756.3658457,12069.5479211,3810.1804043,6734.9536117,1108.8599613,39830.1885364
2017-02-22 18:00:00-06:00,11414.3989322,1364.5727289,2282.2397445,772.3948211,12136.8130166,3633.4916466,6683.3941815,1108.9870625,39396.2921339
2017-02-22 19:00:00-06:00,11253.2731456,1324.2722449,2298.37068,773.0122958,12253.8337303,3555.1551073,6658.8236489,1122.0537626,39238.7946154
2017-02-22 20:00:00-06:00,10850.4767941,1234.4558294,2276.0225518,753.1571429,11965.2319815,3396.6019788,6303.7273345,1090.0462961,37869.7199091
2017-02-22 21:00:00-06:00,10264.8163936,1201.2814648,2230.5287817,725.2698827,11293.6460482,3185.0672409,5855.5895594,1039.1055335,35795.3049048
2017-02-22 22:00:00-06:00,9466.2115575,1117.9955059,2164.5588758,674.1429681,10297.3830689,2909.5891735,5298.8601503,971.4779542,32900.2192542
2017-02-22 23:00:00-06:00,8718.1500247,1011.3951486,2108.5334382,629.9886394,9327.5740177,2597.947806,4730.7749961,908.7350083,30033.099079
2017-02-23 00:00:00-06:00,8080.8155781,962.0424396,2044.5814145,616.8178633,8751.0522311,2337.8796411,4341.7688268,888.2344431,28023.1924376
2017-02-23 01:00:00-06:00,7807.9814974,923.5299673,2022.5867828,604.6415867,8379.4593091,2190.982496,4099.360611,872.987939,26901.5301893
2017-02-23 02:00:00-06:00,7662.4074121,901.6851864,2009.2352942,598.1629274,8116.9028128,2103.0267319,3960.6869615,866.4035734,26218.5108997
2017-02-23 03:00:00-06:00,7650.7222262,851.8820574,2005.4078587,598.3840562,8116.1088946,2067.7487285,3928.0510274,868.9625107,26087.2673597
2017-02-23 04:00:00-06:00,7800.8616469,915.9250238,2002.2279016,612.7454831,8363.8539443,2070.6762748,4002.4063296,885.1864863,26653.8830904
2017-02-23 05:00:00-06:00,8327.0681883,979.1164499,2043.5807689,641.3279289,9180.9762949,2203.2572899,4357.0271046,937.0035913,28669.3576167
2017-02-23 06:00:00-06:00,9149.2792523,1151.9993565,2118.3273916,711.5419937,10601.0029092,2529.935236,5137.4430119,1044.3068735,32443.8360247
2017-02-23 07:00:00-06:00,9301.8641431,1178.5624816,2136.2199907,727.4951695,11001.7966411,2595.3243539,5302.1351876,1079.0489572,33322.4469247
2017-02-23 08:00:00-06:00,9569.5007149,1196.9686071,2129.077183,728.713748,10908.511715,2639.3859545,5304.6250038,1058.8208984,33535.6038247
2017-02-23 09:00:00-06:00,9990.2659676,1214.5346082,2151.1144916,729.7891836,11055.3280507,2770.0424981,5368.8469278,1041.8312648,34321.7529924
