//scn,inj,int,LMP,BalancePrice,FlowPrice,LossPrice,LossFactor,LfUpdate,LfError
ScnDA,109062_B1,24,31.301,15.834,15.466,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,1,31.100,41.777,-10.677,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,2,30.878,47.236,-16.358,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,3,31.793,52.955,-21.162,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,4,32.215,53.798,-21.582,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,5,32.413,61.833,-29.419,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,6,32.719,64.236,-31.517,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,7,33.150,65.233,-32.084,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,8,33.224,65.369,-32.145,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,9,33.113,63.386,-30.273,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,10,31.899,5.869,26.030,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,11,31.558,4.366,27.192,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,12,30.537,4.705,25.832,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,13,30.065,4.163,25.902,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,14,30.016,4.020,25.996,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,15,29.302,3.297,26.005,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,16,29.319,2.139,27.180,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,17,29.957,3.323,26.634,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,18,30.737,8.302,22.435,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,19,32.314,17.298,15.016,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,20,31.940,28.831,3.109,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,21,31.923,28.648,3.275,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,22,31.393,29.161,2.232,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,23,29.242,15.936,13.306,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109081_B1,24,29.040,15.834,13.206,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,1,30.886,41.777,-10.892,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,2,30.899,47.236,-16.337,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,3,31.948,52.955,-21.006,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,4,32.450,53.798,-21.347,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,5,32.311,61.833,-29.522,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,6,32.611,64.236,-31.625,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,7,33.028,65.233,-32.205,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,8,33.101,65.369,-32.267,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,9,33.029,63.386,-30.357,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,10,32.369,5.869,26.500,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
