id,scn,start,end,cap_mod,bat,bat_mod,bat_min,bat_loc,xm_mod,dr_amnt,scn_ref,xm_rlx,xm_sf,xm_viol,ltsa,fev,ld_mdl,desc,ts,rpt_all,curtail
112,Scn_254,2013-11-20,2013-11-30,1.5,TRUE,0.15,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @15% bat,2020-03-23 12:01:40 -0500,none,0
113,Scn_350,2013-11-20,2013-11-30,0.5,TRUE,0.35,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @35% bat,2020-03-23 13:55:57 -0500,none,0
114,Scn_351,2013-11-20,2013-11-30,0.75,TRUE,0.35,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @35% bat,2020-03-23 13:56:17 -0500,none,0
115,Scn_352,2013-11-20,2013-11-30,1,TRUE,0.35,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @35% bat,2020-03-23 13:56:30 -0500,none,0
116,Scn_353,2013-11-20,2013-11-30,1.25,TRUE,0.35,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @35% bat,2020-03-23 13:56:44 -0500,none,0
117,Scn_354,2013-11-20,2013-11-30,1.5,TRUE,0.35,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @35% bat,2020-03-23 13:56:57 -0500,none,0
118,Scn_450,2013-11-20,2013-11-30,0.5,TRUE,0.25,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @25% bat,2020-03-24 18:01:46 -0500,none,0
119,Scn_451,2013-11-20,2013-11-30,0.75,TRUE,0.25,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @25% bat,2020-03-24 18:02:38 -0500,none,0
120,Scn_453,2013-11-20,2013-11-30,1.25,TRUE,0.25,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @25% bat,2020-03-24 18:02:52 -0500,none,0
121,Scn_454,2013-11-20,2013-11-30,1.5,TRUE,0.25,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @25% bat,2020-03-24 18:03:10 -0500,none,0
